latitude,longitude,name,desc,color,source,precision
45.524958,-122.682397,"231 NW 11th Ave, Portland, 97209","221-231 Northwest 11th Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
39.78373,-100.445882,"1134 NW Everett, Portland, 97209",US,,MapQuest Open,country
45.551555,-122.678099,"3957 N Missouri Ave, Portland, 97227","3957 North Missouri Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
45.551555,-122.678099,"3957 N Missouri Ave, Portland, 97227","3957 North Missouri Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
45.559165,-122.647382,"1733 Northeast Alberta Street , Portland, 97211","1733 Northeast Alberta Street, Portland, Multnomah County, OR, US",,MapQuest Open,address
45.528136,-122.684658,"701 NW 13th Ave, Portland, 97209","701 Northwest 13th Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
39.78373,-100.445882,"614 11th Ave, Portland, 97205",US,,MapQuest Open,country
45.504876,-122.630019,"3377 SE DIVISION ST. PORTLAND, Portland, 97202","3377 Southeast Division Street, Portland, Multnomah County, OR, US",,MapQuest Open,address
39.78373,-100.445882,"1001 SE Water Avenue Suite 260, Portland, 97214",US,,MapQuest Open,country
39.78373,-100.445882,"220 SW Ankeny, Portland, 97204",US,,MapQuest Open,country
45.521185,-122.678432,"410 SW Broadway, Portland, 97205","410 Southwest Broadway, Portland, Multnomah County, OR, US",,MapQuest Open,address
45.526479,-122.698603,"529 NW 23rd Ave., Portland, 97210","529 Northwest 23rd Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
45.521146,-122.687411,"729 SW 15th Ave, Portland, 97205","729 Southwest 15th Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
39.78373,-100.445882,"3326 SE Belmont St , Portland, 97211",US,,MapQuest Open,country
45.551484,-122.675651,"3951 N Mississippi Avenue , Portland, 97227","3951 North Mississippi Avenue, Portland, Multnomah County, OR, US",,MapQuest Open,address
