latitude,longitude,name,desc,color,source,precision
,,"55 4TH STREET SAN FRANCISCO, San Francisco, CA, SAN FRANCISCO",-,,Bing Maps,
37.7853584,-122.4328384,"1700 Fillmore St, San Francisco, CA, 94115","1700 Fillmore St, San Francisco, CA 94115",,Bing Maps,address
37.7570922,-122.4210593,"995 Valencia st, San Francisco, CA, 94110","995 Valencia St, San Francisco, CA 94110",,Bing Maps,address
37.7939262,-122.4036865,"640 sacramento street, San Francisco, CA, 94131","640 Sacramento St, San Francisco, CA 94111",,Bing Maps,address
37.7804844,-122.3902676,"701 2nd St., San Francisco, CA, 94107","701 2nd St, San Francisco, CA 94107",,Bing Maps,address
37.7866092,-122.4146207,"688 Geary, San Francisco, CA, 94102","688 Geary St, San Francisco, CA 94102",,Bing Maps,address
37.7742154,-122.4375743,"502 Divisadero Street, San Francisco, CA, 94117","502 Divisadero St, San Francisco, CA 94117",,Bing Maps,address
37.7849884,-122.4056778,"12 4th street, San Francisco, CA, 94103","12 4th St, San Francisco, CA 94103",,Bing Maps,address
37.7528818,-122.411978,"2790 A Harrison Street, San Francisco, CA, 94114","2790 Harrison St, San Francisco, CA 94110",,Bing Maps,address
37.776276,-122.4179285,"1420 Market Street, San Francisco, CA, 94102","1420 Market St, San Francisco, CA 94102",,Bing Maps,address
37.79088,-122.4034754,"374 Bush Street, San Francisco, CA, 94104","374 Bush St, San Francisco, CA 94104",,Bing Maps,address
37.7833457,-122.4068362,"360 Jessie St, San Francisco, CA, 94103","360 Jessie St, San Francisco, CA 94103",,Bing Maps,address
37.75384,-122.4207663,"1199 Valencia St, San Francisco, CA, 94110","1199 Valencia St, San Francisco, CA 94110",,Bing Maps,address
37.7899506,-122.4041969,"6 Claude Lane, San Francisco, CA, 94108","6 Claude Ln, San Francisco, CA 94108",,Bing Maps,address
37.7899493,-122.4043123,"7 Claude Lane, San Francisco, CA, 94108","7 Claude Ln, San Francisco, CA 94108",,Bing Maps,address
37.7898138,-122.4035659,"185 Sutter Street, San Francisco, CA, 94104","185 Sutter St, San Francisco, CA 94104",,Bing Maps,address
37.7786598,-122.3973389,"564 fourth street, san francisco, CA, 94107","564 4th St, San Francisco, CA 94107",,Bing Maps,address
37.7566409,-122.4189337,"2518 Mission St, San Francisco, CA, 94110","2518 Mission St, San Francisco, CA 94110",,Bing Maps,address
37.7881241,-122.3863678,"28 1/2 Pier, San Francisco, CA, 94105","28 Pier 28, San Francisco, CA 94105",,Bing Maps,address
37.765637,-122.4499983,"901 cole street , san francisco, CA, 94117","901 Cole St, San Francisco, CA 94117",,Bing Maps,address
37.7971,-122.4479418,"563 Ruger Street, San Francisco, CA, 94129","563 Ruger St, San Francisco, CA 94129",,Bing Maps,address
37.7924232,-122.4100952,"950 Mason Street, San Francisco, CA, 94108","950 Mason St, San Francisco, CA 94108",,Bing Maps,address
37.7866173,-122.4118118,"501 Geary Street, San Francisco, CA, 94102","501 Geary St, San Francisco, CA 94102",,Bing Maps,address
37.7591702,-122.4110453,"3010 20th St, San Francisco, CA, 94110","3010 20th St, San Francisco, CA 94110",,Bing Maps,address
37.7770626,-122.4230629,"409 Gough St., San Francisco, CA, 94102","409 Gough St, San Francisco, CA 94102",,Bing Maps,address
37.7872342,-122.4096961,"398 Geary St., San Francisco, CA, 94102","398 Geary St, San Francisco, CA 94102",,Bing Maps,address
37.7882271,-122.4009552,"39 New Montgomery St., San Francisco, CA, 94105","39 New Montgomery St, San Francisco, CA 94105",,Bing Maps,address
37.78698,-122.4011506,"662 Mission ST, San Francisco, CA, 94105","662 Mission St, San Francisco, CA 94105",,Bing Maps,address
37.7870665,-122.4200039,"1117 Polk St, San Francisco, CA, 94109","1117 Polk St, San Francisco, CA 94109",,Bing Maps,address
37.7690609,-122.4194037,"161 Erie St, San Francisco, CA, 94103","161 Erie St, San Francisco, CA 94103",,Bing Maps,address
37.7826543,-122.4078119,"16 Mint Plaza , San Francisco, CA, 94103","16 Mint Plaza, San Francisco, CA 94103",,Bing Maps,address
37.8002013,-122.4090665,"1570 Stockton St, San Francisco, CA, 94133","1570 Stockton St, San Francisco, CA 94133",,Bing Maps,address
37.7986356,-122.4081572,"641 Vallejo St, San Francisco, CA, 94133","641 Vallejo St, San Francisco, CA 94133",,Bing Maps,address
37.7609472,-122.4215408,"746 Valencia Street, San Francisco, CA, 94110","746 Valencia St, San Francisco, CA 94110",,Bing Maps,address
37.8002892,-122.4391022,"2175 chestnut Street, San Francisco, CA, 94123","2175 Chestnut St, San Francisco, CA 94123",,Bing Maps,address
37.7738976,-122.411695,"299 9TH ST, SAN FRANCISCO, CA, 94103-3825","299 9th St, San Francisco, CA 94103",,Bing Maps,address
37.7973723,-122.4057955,"242 columbus ave, san francisco, CA, 94133","242 Columbus Ave, San Francisco, CA 94133",,Bing Maps,address
37.7513637,-122.432228,"4011 24th Street, San Francisco, CA, 94114","4011 24th St, San Francisco, CA 94114",,Bing Maps,address
37.7758831,-122.4088646,"1145 folsom st, san francisco, CA, 94103","1145 Folsom St, San Francisco, CA 94103",,Bing Maps,address
37.7967419,-122.4050465,"155 Columbus Avenue, San Francisco, CA, 94133","155 Columbus Ave, San Francisco, CA 94133",,Bing Maps,address
37.7800626,-122.4831994,"5929 Geary Blvd, San Francisco, CA, 94121","5929 Geary Blvd, San Francisco, CA 94121",,Bing Maps,address
37.7861479,-122.411404,"401 taylor, san francisco, CA, 94102","401 Taylor St, San Francisco, CA 94102",,Bing Maps,address
37.7665932,-122.4302955,"2174 Market st. , San Francisco, CA, 94114","2174 Market St, San Francisco, CA 94114",,Bing Maps,address
