Bar/Restaurant Name,Business Website,Business Address,Address Line 2,City,State / Province / Region,Postal / Zip Code,Country,Charity
Gilda's Italian Restaurant & Lounge,http://gildasitalianrestaurant.com/,1601 SW Morrison,,Portland,OR,97205,United States,Oregon Human Society
Davis Street Tavern,http://davisstreettavern.com,500 NW Davis Street,,Portland,OR,07209,United States,Albertina Kerr
Kachka Restaurant,http://kachkapdx.com,720 SE Grand Avenue,,Portland,OR,97086,United States,Polaris
Restaurant St. Jack,http://www.stjackpdx.com,1610 NW 23rd,,Portland,OR,97210,United States,Michael J. Fox Foundation for Parkinson's Research
EaT: An Oyster Bar,http://www.eatoysterbar.com,3808 N Williams Ave ,Suite 122,Portland,OR,97227,United States,Sisters of the Road
The Parish Restaurant,http://www.theparishpdx.com,231 NW 11th Ave,,Portland,OR,97209,United States,Sisters of the Road
Oven and Shaker,http://ovenandshaker.com,1134 NW Everett,,Portland,OR,97209,United States,Oregon Humane Society
katie burnett test,http://www.businessname.com,3957 N Missouri Ave,,Portland,OR,97227,United States,birdie
Aviary,http://aviary.com,1733 Northeast Alberta Street ,,Portland,OR,97211,United States,Planned Parenthood
Irving Street Kitchen,http://irvingstreetkitchen.com,701 NW 13th Ave,,Portland,OR,97209,United States,Share Our Strength
Jackknife Bar,http://www.jackknifepdx.com,614 11th Ave,,Portland,OR,97205,United States,The Pixie Project
Ava Genes Restaurant,http://avagenes.com,3377 SE DIVISION ST. PORTLAND,,Portland,OR,97202,United States,Outside In
clarklewis,http://clarklewispdx.com,1001 SE Water Avenue Suite 260,,Portland,OR,97214,United States,Caldera Arts
District,http://www.districtportland.com,220 SW Ankeny,,Portland,OR,97204,United States,Inspire Artistic Minds
Imperial,http://imperialpdx.com,410 SW Broadway,,Portland,OR,97205,United States,The Pixie Project 
23Hoyt,http://23Hoyt.com,529 NW 23rd Ave.,,Portland,OR,97210,United States,Cascade AIDS Project
Driftwood Room,http://graciesdining.com,729 SW 15th Ave,,Portland,OR,97205,United States,NW Film School
Sweet Hereafter,http://hereafterpdx.com/,3326 SE Belmont St ,,Portland,OR,97211,United States,Wildcat Haven Sanctuary 
Radar ,http://radarpdx.com/,3951 N Mississippi Avenue ,,Portland,OR,97227,United States,Our United Villages
Moloko,http://molokopdx.com,3967 N Mississippi Avenue,,Portland,OR,97227,United States,The Sierra Club 
Moloko,http://molokopdx.com,3967 N Mississippi Avenue,,Portland,OR,97227,United States,The Sierra Club 
Pazzo Ristorante,http://www.pazzo.com,627 SW Washington,,Portland,OR,97205,United States,P:ear
Multnomah Whisk{e}y Library,http://www.multnomahwhiskeylibrary.com,1124 SW Alder,,Portland,OR,97205,United States,Mercy Corps
Little bird bistro,http://littlebirdbistro.com,219 SW 6th ave.,,Portland,OR,97204,United States,New Avenues for Youth
Oso Market + Bar,http://www.osomarket.com,726 SE Grand Ave,,Portland,OR,97214,United States,Bradley Angle (http://bradleyangle.org/)
The Fireside,http://www.pdxfireside.como,801 NW 23rd Ave,,Portland,OR,97218,United States,Mercy Corps
